rightwing,gender,age,extraverted,critical,dependable,anxious,open,reserved,sympathetic,disorganized,calm,conventional
42,male,18,1,7,6,7,7,7,1,5,1,6
53,female,29,3,1,6,5,6,6,7,2,5,2
153,female,24,2,5,7,3,3,6,5,1,6,6
85,male,19,3,5,3,6,5,4,6,5,2,4
63,male,26,2,5,6,1,6,5,6,1,7,1
43,male,20,2,5,6,2,6,7,4,2,6,2
20,male,20,1,2,3,5,7,7,5,5,5,3
78,male,17,6,3,3,7,5,1,6,4,3,2
59,male,48,4,5,5,5,6,5,5,5,5,3
76,female,16,6,2,6,5,6,2,5,5,6,1
133,female,38,7,2,5,2,2,2,7,4,3,7
32,female,17,1,1,4,6,4,7,6,3,4,2
137,female,39,1,5,4,3,6,7,2,5,7,3
20,male,19,2,3,5,5,7,3,5,1,4,1
74,male,26,2,5,4,5,5,6,5,6,6,3
39,female,51,4,5,6,4,6,6,5,3,6,1
20,male,31,5,7,5,5,7,4,7,6,5,1
53,male,14,2,5,5,3,5,6,6,5,3,1
55,male,14,1,6,5,5,6,6,1,7,7,4
63,male,18,5,3,2,1,7,5,6,6,5,2
38,male,17,6,6,2,2,5,5,1,2,6,1
46,male,45,3,3,5,7,7,5,7,5,3,1
30,male,23,3,7,7,1,7,5,6,1,7,1
29,male,30,3,1,6,2,6,6,7,3,7,2
25,female,32,1,3,3,6,6,7,7,4,3,3
28,male,28,5,5,5,1,7,6,5,6,6,1
45,female,14,1,4,4,6,7,6,5,7,1,1
45,female,46,2,5,6,6,6,4,6,2,3,3
71,female,43,1,6,6,5,5,7,2,5,2,1
48,female,62,5,3,7,5,7,5,6,5,6,2
114,male,18,3,5,6,1,6,6,2,2,6,1
82,male,28,2,5,6,6,5,5,6,4,5,5
92,female,20,6,5,6,5,5,2,3,5,5,3
42,male,23,6,2,5,2,6,2,5,3,6,4
97,male,16,1,6,5,3,3,6,6,3,7,2
31,male,27,7,7,5,3,7,3,7,4,5,1
61,female,46,2,6,3,5,6,5,5,5,3,2
56,male,24,2,5,6,1,6,5,3,1,6,5
61,female,14,2,7,7,7,6,7,6,5,1,1
91,male,39,5,5,2,6,5,4,5,7,2,6
91,male,13,3,6,1,6,5,6,3,2,1,7
112,female,18,5,6,2,5,7,1,2,7,5,2
178,female,28,1,2,5,5,1,7,7,2,5,6
37,male,30,3,2,6,5,5,6,6,3,4,2
59,male,25,5,6,6,3,7,4,5,2,5,2
51,male,23,1,3,4,5,7,7,5,6,7,4
72,female,16,6,6,3,7,6,1,5,7,2,1
68,male,26,7,5,6,5,7,5,6,1,7,5
68,male,33,2,6,6,3,7,5,4,5,4,1
21,male,57,3,4,6,2,5,7,7,4,5,3
125,male,17,7,5,7,2,6,5,4,1,7,3
39,male,29,2,6,5,5,5,5,5,5,3,6
52,male,20,3,6,7,1,6,7,5,5,7,6
29,female,15,7,6,1,5,7,1,6,6,6,1
31,male,21,1,4,7,1,4,7,6,2,7,2
76,male,52,5,7,6,2,5,1,1,1,3,3
69,female,27,3,3,6,5,6,5,7,4,5,4
20,female,18,1,2,7,7,5,5,5,3,2,6
22,male,14,6,5,5,2,7,2,5,6,6,2
104,male,24,3,5,5,5,3,5,6,6,6,2
45,female,39,3,1,5,6,6,3,6,3,6,2
80,male,16,4,5,3,3,7,4,5,6,4,1
47,female,43,3,1,7,3,7,6,7,1,6,1
21,female,30,3,2,6,4,7,6,7,4,6,1
20,female,25,6,4,7,4,5,3,5,1,4,1
41,male,17,4,7,4,6,6,3,5,6,3,1
66,female,51,2,5,5,6,6,6,6,5,2,2
34,female,36,1,5,3,7,5,7,6,2,1,2
68,male,25,1,7,7,7,7,7,1,4,1,7
37,female,16,5,3,4,5,6,5,6,6,5,2
134,male,21,5,7,5,7,6,7,7,5,5,3
31,female,44,7,6,7,6,7,2,6,2,2,1
